Month,Name,Ranking,Visible
,MongoDB,484.674,Yes
,MongoDB,488.567,Yes
,MongoDB,488.642,Yes
,MongoDB,485.658,Yes
,MongoDB,483.38,Yes
,MongoDB,478.238,Yes
,MongoDB,480.726,Yes
,MongoDB,472.984,Yes
,MongoDB,477.662,Yes
,MongoDB,489.635,Yes
,MongoDB,486.231,Yes
,Redis,30.76,Yes
,Redis,29.24,Yes
,Redis,25.973,Yes
,Redis,32.034,Yes
,Redis,32.431,Yes
,Redis,35.58,Yes
,Redis,36.249,Yes
,Redis,34.221,Yes
,Redis,33.094,Yes
,Redis,32.193,Yes
,Redis,32.107,Yes
,Redis,36.013,Yes
,Redis,40.569,Yes
,Redis,51.776,Yes
,Redis,52.495,Yes
,Redis,55.815,Yes
,Redis,53.456,Yes
,Redis,58.463,Yes
,Redis,62.042,Yes
,Redis,65.131,Yes
,Redis,68.732,Yes
,Redis,70.797,Yes
,Redis,74.602,Yes
,Redis,79.377,Yes
,Redis,82.345,Yes
,Redis,87.875,Yes
,Redis,94.24,Yes
,Redis,99.208,Yes
,Redis,97.047,Yes
,Redis,94.552,Yes
,Redis,94.727,Yes
,Redis,95.49,Yes
,Redis,95.075,Yes
,Redis,98.808,Yes
,Redis,100.653,Yes
,Redis,98.795,Yes
,Redis,102.409,Yes
,Redis,100.536,Yes
,Redis,101.157,Yes
,Redis,102.072,Yes
,Redis,106.217,Yes
,Redis,111.239,Yes
,Redis,108.236,Yes
,Redis,104.494,Yes
,Redis,108.033,Yes
,Redis,107.322,Yes
,Redis,107.793,Yes
,Redis,109.543,Yes
,Redis,115.541,Yes
,Redis,119.892,Yes
,Redis,118.697,Yes
,Redis,114.035,Yes
,Redis,113.005,Yes
,Redis,114.358,Yes
,Redis,117.449,Yes
,Redis,118.886,Yes
,Redis,121.512,Yes
,Redis,121.896,Yes
,Redis,120.407,Yes
,Redis,122.053,Yes
,Redis,121.181,Yes
,Redis,123.235,Yes
,Redis,123.137,Yes
,Redis,127.02,Yes
,Redis,131.225,Yes
,Redis,130.11,Yes
,Redis,135.349,Yes
,Redis,136.301,Yes
,Redis,139.912,Yes
,Redis,138.575,Yes
,Redis,140.943,Yes
,Redis,145.29,Yes
,Redis,144.173,Yes
,Redis,146.828,Yes
,Redis,149.015,Yes
,Redis,149.447,Yes
,Redis,146.125,Yes
,Redis,146.376,Yes
,Redis,148.404,Yes
,Redis,146.127,Yes
,Redis,144.263,Yes
,Redis,144.081,Yes
,Redis,141.902,Yes
,Redis,142.913,Yes
,Redis,145.237,Yes
,Redis,146.234,Yes
,Redis,148.748,Yes
,Redis,151.421,Yes
,Redis,147.582,Yes
,Redis,144.81,Yes
,Redis,143.477,Yes
,Redis,145.644,Yes
,Redis,150.046,Yes
,Redis,152.874,Yes
,Redis,151.857,Yes
,Redis,153.284,Yes
,Redis,155.419,Yes
,Redis,153.627,Yes
,Redis,155.01,Yes
,Redis,152.572,Yes
,Redis,154.149,Yes
,Redis,155.888,Yes
,Redis,162.171,Yes
,Redis,165.249,Yes
,Redis,168.308,Yes
,Redis,169.884,Yes
,Redis,171.937,Yes
,Redis,171.35,Yes
,Redis,171.497,Yes
,Redis,173.541,Yes
,Redis,177.984,Yes
,Redis,175.799,Yes
,Redis,176.763,Yes
,Redis,177.608,Yes
,Redis,179.018,Yes
,Redis,175.311,Yes
,Redis,173.624,Yes
,Redis,176.394,Yes
,Redis,181.47,Yes
,Redis,183.375,Yes
,Elasticsearch,0,Yes
,Elasticsearch,0,Yes
,Elasticsearch,0,Yes
,Elasticsearch,7.397,Yes
,Elasticsearch,6.759,Yes
,Elasticsearch,8.315,Yes
,Elasticsearch,8.541,Yes
,Elasticsearch,9.515,Yes
,Elasticsearch,10.642,Yes
,Elasticsearch,11.774,Yes
,Elasticsearch,13.762,Yes
,Elasticsearch,12.97,Yes
,Elasticsearch,12.896,Yes
,Elasticsearch,17.12,Yes
,Elasticsearch,17.57,Yes
,Elasticsearch,23.379,Yes
,Elasticsearch,26.172,Yes
,Elasticsearch,29.798,Yes
,Elasticsearch,32.064,Yes
,Elasticsearch,33.95,Yes
